350
38 38
4 7 604536
6 11 630286
8 10 187569
10 13 418798
20 4 391909
13 20 509867
5 20 689999
20 2 422618
1 2 393967
2 19 753973
15 24 518463
16 7 315018
13 19 841222
4 21 800980
24 11 624419
1 12 29800
23 14 123990
18 11 611807
12 3 519182
19 24 664769
14 7 284401
17 14 440210
23 21 328553
23 16 182909
2 24 89204
5 9 796047
6 5 655345
2 18 101816
10 22 470312
25 11 594303
6 21 544602
5 10 601685
17 18 213782
24 25 295116
18 6 318487
24 10 217121
12 17 583341
20 1 358281
25 15 765971
20 133
19 12 236000
11 14 168145
5 3 189856
19 14 213988
16 6 223386
16 11 251723
7 8 173567
3 11 48695
6 5 179859
4 20 89708
4 17 141061
1 11 137804
16 8 254543
9 1 197848
2 14 79777
2 4 39226
16 19 266893
9 20 267340
10 6 106979
5 16 280323
14 20 148811
13 17 238411
18 20 129225
15 19 124935
6 15 38952
13 4 199564
3 19 155533
5 12 251972
14 5 229960
14 12 191085
13 9 215834
20 8 95472
9 2 216858
15 10 86579
10 14 157080
18 4 99417
6 14 109453
17 20 51353
14 13 80561
7 9 345435
11 4 127594
3 1 89109
9 17 318693
15 12 111065
1 10 126739
6 9 246534
3 7 168451
3 4 78899
6 3 69349
11 12 208709
11 15 97644
19 9 332517
4 15 29950
19 7 12918
3 14 119450
4 5 125839
20 3 108707
12 7 248918
18 5 210374
3 18 67090
8 4 100059
11 20 157402
5 15 140907
7 4 167803
1 17 161277
2 10 77303
3 16 203028
1 16 174700
18 9 277049
8 10 216588
19 5 233130
20 12 170823
6 13 190014
8 9 277691
20 13 229372
13 5 196421
8 5 72481
1 8 120275
19 4 154885
5 20 167953
2 8 139285
15 14 89053
4 14 119003
4 1 20216
2 11 88368
20 10 146337
16 15 184434
7 13 265153
2 18 60191
1 2 49436
1 6 79112
16 7 279811
6 2 29676
15 9 207582
16 17 280717
2 17 120387
1 12 161231
17 11 132568
4 12 141015
6 11 118044
13 2 160338
15 3 48949
7 2 147129
9 5 303471
7 11 159310
16 9 332116
17 7 26742
15 17 111111
19 1 175101
5 7 246048
20 7 78095
10 18 17112
10 12 104293
15 1 50166
18 13 220529
19 10 148067
16 13 354048
10 3 84202
3 17 142216
3 13 154538
2 16 193710
14 1 129213
20 2 69034
19 6 163887
16 12 257343
13 11 105843
6 12 150017
14 7 226906
16 10 153050
19 2 134211
18 16 135938
18 12 121405
12 9 318647
12 42
6 8 115918
4 6 341320
5 10 327108
12 11 265262
5 1 409974
3 12 240936
8 9 249468
9 12 323565
6 2 364420
6 11 207590
9 2 222101
2 5 415748
3 8 441583
5 6 51328
5 8 167246
11 7 109043
6 1 372801
12 5 484512
2 12 108432
3 10 453733
3 4 332800
10 7 541956
11 10 432913
3 1 140885
6 7 316633
3 11 275456
9 1 230482
1 2 8381
12 10 429661
10 6 364634
7 5 367961
2 8 341027
9 6 272861
9 11 65271
8 4 406997
2 10 321229
10 8 248716
12 4 91864
7 12 279793
10 4 457285
2 4 200296
4 11 357126
9 2
9 4 445726
4 1 197108
39 153
11 8 187702
9 10 128805
4 26 106843
33 5 165238
20 17 167149
11 33 161443
17 26 52589
39 15 184346
23 29 181827
37 36 233602
33 10 79283
14 8 308429
11 2 58912
34 36 245720
33 25 120630
36 11 102698
14 33 347893
17 6 152568
9 7 147541
20 33 218897
10 12 175420
37 17 205987
6 11 165856
7 16 58579
13 12 160273
20 30 117265
13 18 288840
15 17 105657
15 25 201027
15 30 140390
33 31 119633
1 5 111639
27 8 213414
26 22 133471
24 26 129693
1 2 23066
28 10 179746
2 14 255007
37 25 105774
22 32 380049
27 7 194853
33 27 160930
26 34 212861
9 30 240425
14 6 148052
33 34 168417
17 13 64147
26 16 78415
30 26 135986
26 18 183977
4 28 103084
4 32 214069
15 2 145951
24 19 127921
31 21 46653
35 6 207505
38 2 117215
10 8 162013
2 37 172481
4 7 30136
29 21 98496
37 10 174911
28 19 182062
21 39 236738
3 38 161093
33 1 154535
11 20 184912
7 22 135844
16 11 44429
38 29 219405
1 18 226404
7 34 135660
2 34 179756
31 25 98035
23 12 161525
36 14 306085
22 21 212600
15 19 227258
27 32 334018
10 25 69137
2 13 104441
16 22 194423
31 10 126793
9 36 78466
33 2 131469
15 14 296624
36 35 59392
20 12 210798
23 17 110233
35 28 118058
8 28 217914
14 22 248776
4 31 56919
31 3 86837
36 33 89840
35 18 230511
35 23 95836
26 12 148715
21 9 123789
23 27 226318
11 25 125619
36 22 164474
39 3 247956
14 23 331723
29 11 124748
28 2 89124
18 31 233901
29 6 238100
31 8 114797
19 3 136816
25 3 110585
30 3 187698
35 17 91850
22 37 264229
25 24 101690
15 32 317094
19 16 107421
20 16 140483
5 34 210701
10 14 340696
9 33 49522
9 19 196383
14 16 269479
35 22 223866
24 1 146241
16 1 37549
31 38 74256
15 6 186684
14 37 380408
21 28 92818
9 29 157560
15 18 130909
5 20 210089
23 6 183671
9 18 211437
18 16 217821
33 13 121529
26 36 79717
31 20 164484
5 4 102524
28 33 148506
10 18 207004
31 6 149903
14 35 317445
24 27 272766
20 21 158678
11 14 313908
32 33 276035
19 18 143972
29 31 145149
32 8 328899
5 11 118510
20 24 244253
25 285
3 9 203909
1 13 142020
15 18 122943
15 22 57229
21 17 106167
3 25 191810
11 3 130247
14 25 246587
19 16 370798
3 13 44792
1 9 301137
21 9 179104
5 8 215605
6 3 21172
5 17 154911
12 24 10338
8 22 167105
14 16 326852
20 25 185805
8 23 154081
16 3 184620
12 19 266204
20 14 148237
23 6 78950
1 8 128506
11 22 73861
8 16 215898
3 15 27501
24 21 99124
23 22 13024
1 4 119506
12 13 63020
3 20 6005
2 9 234137
20 22 76807
6 21 91730
11 21 59689
4 20 81298
15 7 95272
2 1 127456
2 8 126531
10 4 89179
8 4 9000
4 15 114804
24 16 176730
22 7 71550
17 25 227419
1 7 164999
15 5 146803
19 1 345204
9 18 294188
18 10 97265
11 7 117067
25 10 193686
9 10 202033
14 21 72266
14 7 129644
12 7 85999
3 18 95442
23 9 206300
9 12 222137
1 21 167786
8 3 96303
5 12 137530
14 8 238535
10 5 121178
9 7 236482
22 25 160149
19 18 343418
21 12 88786
24 5 147868
4 13 132095
12 20 12223
25 21 174321
23 20 63783
20 21 76563
17 13 60852
7 4 155074
13 10 46668
4 9 291212
22 16 255422
13 18 140234
10 19 249852
16 20 178615
14 11 12577
1 25 277028
7 3 67771
14 6 133070
7 18 163213
2 5 149530
1 14 239460
25 4 267103
22 2 109093
23 12 76006
7 19 315747
4 17 122912
24 1 89338
25 8 276103
21 22 14172
5 6 140474
5 16 287090
8 18 175058
17 8 131912
14 23 99462
25 7 142696
6 10 23048
21 18 166000
19 6 269148
25 5 300040
21 23 27196
13 7 36125
17 16 220229
6 17 56781
5 9 323211
15 11 102746
11 13 119998
21 7 57378
19 23 300545
20 24 22561
6 11 120493
15 16 212121
23 16 242398
12 6 27390
24 10 30389
9 15 222161
19 24 276542
12 10 20104
20 9 209914
25 2 180239
11 16 314275
3 21 70558
5 18 126835
5 7 187073
19 20 253981
6 4 96465
22 24 99368
11 17 165856
18 16 243606
7 6 72123
14 5 262126
13 20 50797
13 23 87505
4 19 335279
3 23 69788
23 15 70253
16 12 166392
21 19 273349
22 5 202114
24 2 58794
11 5 249549
24 9 232422
7 17 96977
10 16 186496
11 18 225097
18 2 125670
19 8 344279
22 18 166244
1 11 226883
18 20 89437
19 15 275477
5 13 164094
16 7 252391
6 24 37728
23 7 84574
24 11 158221
15 25 217378
8 15 123804
23 24 86344
2 12 48456
16 4 206898
15 17 63110
5 3 119302
12 25 198028
6 9 225081
16 21 255178
12 14 160460
19 13 292768
15 1 124729
24 14 160868
11 23 86885
5 21 189860
13 14 132575
10 21 72434
24 8 112859
4 22 158105
8 11 225958
24 18 66876
15 12 45729
13 16 229412
4 11 216958
18 1 156214
5 4 206605
19 3 247976
2 17 65837
14 17 178433
10 8 98179
17 12 53837
22 12 89030
2 14 167187
13 2 73668
12 4 93521
10 3 1876
2 4 117531
25 13 178821
6 18 104604
2 19 278204
6 20 15167
6 25 170638
15 13 72293
17 1 132837
14 19 345615
17 23 105397
13 22 74481
22 6 91974
16 6 193782
4 18 166058
2 11 154610
15 14 115323
16 1 87392
11 12 147883
2 23 100016
19 22 287521
16 25 364420
20 10 7881
24 17 64122
4 14 229535
18 14 227744
24 3 28566
2 16 214848
18 23 153220
2 15 57729
24 4 103859
9 11 119415
5 1 199698
6 8 105465
14 10 144700
14 9 110933
20 2 36233
3 14 142824
24 15 56067
1 10 99104
21 4 157861
22 10 84688
2 21 94921
9 19 335905
23 10 71664
3 17 35609
10 7 69647
12 18 77214
23 5 189090
2 7 37543
8 7 164074
25 18 173205
17 10 33733
24 7 96337
20 1 91223
22 17 118421
25 11 234010
12 8 102521
22 1 168030
3 12 18228
15 6 48673
19 11 333038
15 21 43057
19 17 283585
10 11 132123
2 10 32104
22 9 193276
3 22 82812
18 17 130998
3 1 97228
3 2 30228
8 9 300212
16 9 357690
24 13 73358
25 19 344499
1 12 79000
8 21 166861
23 25 147125
24 25 208366
19 5 367278
2 6 34580
4 3 87303
13 21 60309
23 4 145081
29 119
16 26 143786
16 4 161376
16 1 264309
11 28 242248
16 23 181626
15 17 321887
22 7 608370
8 1 268447
16 3 299034
15 12 230427
10 5 197327
11 19 237123
15 20 254221
9 6 234487
8 25 216012
27 1 180083
3 20 368132
13 8 159118
20 17 297096
13 1 227080
24 6 389623
16 17 207897
11 26 211081
17 21 189132
9 4 190987
21 11 101772
15 26 344838
24 26 494020
16 8 196347
4 20 310462
18 17 390092
15 18 353025
28 7 434289
3 6 533145
5 6 151041
15 25 280665
7 29 249729
12 25 63550
1 25 283974
9 18 264076
5 25 258331
17 2 453006
16 15 321132
4 8 223133
14 10 143956
3 24 329536
19 9 334029
6 26 348662
13 14 122948
8 20 290116
24 11 282939
15 8 314907
21 13 71706
1 11 197014
25 13 56894
7 20 154918
8 27 197130
14 20 178516
24 25 309767
3 26 254838
24 19 45816
9 12 120316
18 19 336311
9 17 237508
20 27 92986
1 10 238509
11 23 114331
24 20 239662
5 19 265082
25 7 284454
1 18 306565
15 22 701245
18 26 199852
29 1 165372
13 3 396395
20 26 292872
4 11 94081
20 2 156955
28 25 155288
9 5 273384
21 24 181167
2 14 315116
15 9 350743
22 12 587140
21 15 152065
16 28 309543
14 17 240374
8 9 225958
11 27 136060
4 22 542593
11 25 86960
10 22 641894
21 18 200960
25 10 221314
27 18 235248
6 4 260897
13 10 164420
4 7 351707
4 19 331204
2 4 246096
13 17 260838
3 21 468101
5 14 180973
2 11 340177
8 22 609538
3 29 527868
5 26 387559
13 12 6656
7 27 199132
15 6 231162
23 4 208412
28 29 329212
20 18 328234
6 27 242744
21 4 195853
24 1 352080
18 3 454690
14 23 63801
17 26 351683
50 50
45 39 539362
17 45 369579
37 43 646326
47 38 612271
32 45 424346
6 37 881589
3 45 446257
15 17 619615
32 8 324609
47 4 537716
43 39 717953
32 12 624987
40 39 443441
32 31 630002
47 13 457442
10 30 244172
34 29 368251
21 20 447827
31 4 769455
9 18 795286
32 5 311929
1 24 317074
5 45 658735
49 26 890831
29 14 401463
43 47 710205
42 5 687310
5 39 512655
31 37 542691
24 29 2894
8 30 468691
25 4 552032
27 33 321461
45 9 324238
28 29 385813
35 43 390477
7 47 528578
19 43 366674
10 8 374907
11 39 502532
13 34 612412
41 44 451636
43 32 615565
19 4 770843
18 13 766330
21 16 511245
29 36 468511
4 20 919950
5 41 693346
42 47 280741
47 1000
13 23 69642
12 7 63229
45 46 60611
22 9 64814
5 42 95578
15 35 134668
6 2 79226
26 30 21670
27 31 128549
9 39 105323
26 39 80655
21 12 103208
37 1 67382
45 22 66924
16 24 49161
25 43 98972
28 34 178202
35 40 85810
32 45 54440
34 46 134769
15 45 88992
6 14 35844
14 24 47524
47 12 3911
4 32 63815
29 24 150899
23 43 20668
9 2 71551
21 10 48146
35 26 110092
45 9 57712
8 30 40702
32 44 52473
47 44 18649
17 39 112471
27 38 101027
8 32 46694
40 45 154340
36 26 8927
9 37 48246
4 31 131990
8 44 77451
24 30 69086
2 38 69484
3 9 111685
42 34 135205
2 37 23305
37 28 101864
6 32 38422
28 35 138940
6 13 81127
5 44 73642
35 5 141169
47 28 127211
21 6 100898
10 35 136245
23 27 78907
38 44 67494
13 28 113127
43 17 41832
39 25 80857
43 30 28740
31 3 135604
32 36 30323
24 7 73006
44 24 32337
39 30 73602
47 24 13688
9 5 4081
32 22 61542
16 10 100942
24 34 88234
3 36 91033
45 17 67806
27 6 77765
10 32 55331
46 2 87976
40 25 129407
1 28 140279
8 19 26257
3 2 44114
3 37 63439
30 47 55398
2 1 44077
29 40 225055
21 34 173843
32 20 8341
29 12 141122
17 29 138521
5 27 103041
1 22 132375
46 30 49237
5 29 84580
34 26 113442
7 16 70140
26 22 33880
33 47 54880
45 6 40273
3 34 127497
23 17 41567
6 22 58963
35 2 100240
23 28 78358
22 2 94289
40 33 171744
22 30 55550
10 37 64773
44 35 102230
17 36 43689
7 32 24529
40 10 147346
30 28 86430
41 32 28420
41 28 64002
28 5 99775
19 12 65932
33 30 110278
4 41 85516
37 13 93148
5 18 42308
27 14 87032
43 40 126850
25 45 107092
2 44 1990
12 27 57107
30 25 80292
25 15 91071
43 5 42085
3 39 78977
11 38 98891
8 20 38353
44 40 179715
21 26 75815
33 15 93160
44 46 85986
40 22 153660
11 23 131040
26 31 47232
7 43 10203
7 22 37013
8 17 51109
42 6 70302
42 7 86775
16 47 35473
16 1 96209
19 14 29574
10 42 117577
36 15 64875
33 29 192091
25 7 88769
8 39 87663
41 44 59177
27 32 86559
29 38 90728
37 45 63882
14 3 94609
24 23 77158
19 40 128521
37 33 94844
26 43 7070
8 11 150924
38 32 46213
36 35 119019
38 43 40071
14 26 28615
33 21 146610
5 12 88380
26 4 84758
10 15 46567
46 12 93929
20 33 104729
17 32 41805
21 42 159956
7 13 59177
47 3 60773
34 47 74546
6 5 53832
33 16 90353
34 6 124202
9 13 86978
26 17 34762
7 39 77522
43 35 103022
22 47 96331
45 2 83155
44 10 86088
16 35 141723
46 31 60659
9 41 31692
43 3 95442
19 11 124667
21 46 101866
34 37 84243
24 32 66150
12 42 64570
4 8 74528
12 9 84299
47 18 49983
25 22 119809
35 41 109334
21 15 94713
28 17 99522
2 30 38739
33 27 47806
1 18 77401
29 31 150991
41 1 105226
3 25 100757
33 34 129426
11 46 159459
45 4 88803
14 17 63377
46 15 83013
10 24 74510
42 11 180068
12 8 85394
42 24 74347
29 39 155415
8 42 108940
37 19 29879
2 19 53184
2 15 105048
14 38 55350
37 14 59453
10 12 92109
21 17 107892
20 17 33464
38 25 95558
20 6 38138
36 47 53524
7 14 25482
44 42 60627
18 33 104863
24 6 83368
25 28 129256
26 15 55948
32 23 23796
22 11 165772
13 39 77765
29 10 131428
20 47 60803
3 38 109618
47 27 53196
8 3 107404
3 7 85239
7 18 23952
31 8 64748
10 26 27669
15 19 63173
43 28 70314
15 39 125593
3 6 107189
13 5 91059
35 21 184391
13 4 81868
28 6 89843
39 45 84700
37 36 39765
25 16 98126
34 30 99677
14 40 149911
13 8 37012
46 17 62329
36 27 88444
8 22 51396
39 43 87725
1 35 56163
46 19 34792
25 26 91902
3 44 42124
16 3 96246
20 13 75365
43 18 34155
39 18 68187
43 10 33223
39 46 108222
32 43 34732
15 29 159707
32 13 83706
14 23 35947
28 18 91845
33 31 164563
17 4 105620
29 1 190373
4 37 62271
45 10 60713
20 43 26391
38 19 25776
12 18 46072
27 15 96540
20 41 20079
38 45 59779
17 35 144854
38 42 93564
10 8 8637
3 11 196533
35 32 137754
41 47 63209
31 20 66553
41 16 74031
7 26 3133
46 24 103706
20 29 116814
4 5 112042
15 44 103058
23 20 18469
13 29 159803
32 40 148958
10 18 54754
27 39 71400
31 42 136012
46 27 118840
16 30 61335
20 9 35805
9 4 107961
23 41 14356
20 39 79007
24 25 76341
34 25 137199
13 21 93795
2 5 75632
45 26 33044
6 15 81031
11 24 186746
13 35 164620
32 1 98540
7 17 37895
20 5 39886
10 6 52752
33 39 45708
25 44 58633
19 47 63410
13 3 120334
24 36 67212
19 5 27790
3 46 115939
42 27 7463
46 29 131326
28 16 138033
36 1 95541
30 17 49639
21 47 99297
45 19 34003
1 11 194628
15 9 84827
34 32 85780
18 16 66750
40 36 130223
12 25 66564
29 3 185865
38 8 52033
11 44 154409
37 8 56136
27 26 91273
12 4 26218
3 41 89130
14 46 56182
26 1 104468
42 20 102363
33 10 98464
22 43 26810
6 44 77236
13 10 45649
47 32 52462
9 23 30082
41 30 22428
25 35 43597
44 20 60814
10 25 119571
13 46 82095
19 32 20437
5 14 57364
37 22 70984
46 7 30700
36 8 27959
38 36 35662
23 33 118350
1 10 132137
30 18 5415
25 17 126664
22 21 108179
31 2 106235
27 18 65420
7 36 5794
1 12 56825
38 31 80233
5 36 37676
17 2 88378
26 24 76139
36 19 9886
40 13 175721
39 11 191262
4 16 57780
21 19 83040
20 40 140617
12 13 63472
13 17 88121
10 7 30802
15 4 112458
42 22 121803
23 12 59559
11 18 135051
45 33 121376
37 27 55401
34 15 165986
42 45 105098
2 21 115956
35 19 117317
33 22 151211
21 45 108859
45 30 48448
40 24 197435
20 11 136763
27 41 92031
45 43 40114
29 25 177807
46 9 58501
3 26 88372
18 26 27085
41 15 56204
47 38 86143
16 6 84033
23 22 47478
23 30 8072
1 43 111538
22 3 122252
6 1 84862
11 17 166654
18 29 124578
44 12 14738
13 26 56044
32 30 15724
42 32 94022
29 42 175813
5 32 48227
2 29 153870
23 2 46811
2 40 181705
22 4 118638
5 10 62684
12 33 58791
13 47 59561
20 10 46990
17 5 69777
38 37 46179
25 33 42337
47 5 91200
45 14 32660
7 5 31882
25 27 9457
29 27 183276
7 29 100626
31 24 123371
38 4 108450
45 28 97804
2 4 38966
31 45 80276
8 1 123500
4 25 74910
34 17 127585
11 41 132650
3 45 115150
27 1 22023
44 45 85145
10 17 59746
37 16 75437
2 10 88078
32 21 103477
39 22 114535
42 18 72883
2 13 76220
16 20 53952
15 17 89039
40 5 156311
22 17 68642
27 24 66884
3 23 86945
16 17 87416
37 47 39964
40 7 124429
25 2 56643
35 23 123690
2 33 71539
44 43 65489
37 6 55921
46 38 60568
12 3 56862
9 25 93491
34 19 106217
3 24 74461
6 11 109766
41 2 61167
27 8 110305
43 33 124401
39 41 81413
29 16 170766
9 26 30934
18 3 73458
34 40 234738
20 19 12096
20 35 129413
12 24 17599
36 42 80981
6 18 45902
5 41 35773
6 47 69680
18 37 10019
14 18 49434
11 13 187936
5 37 52327
11 43 138962
5 39 109404
39 36 71728
34 22 147322
47 14 33836
13 18 83129
30 31 67496
42 26 89908
10 19 34894
33 7 114198
4 39 13135
22 16 107153
28 44 123179
17 44 86388
25 46 119469
27 16 88669
1 7 101335
11 16 190715
21 7 78948
37 31 82930
37 21 112919
33 38 133907
4 35 118507
16 40 194569
9 18 38227
28 27 134725
25 21 161950
19 25 92861
6 35 115893
41 29 104517
28 9 95694
8 35 127608
45 16 100051
27 10 118942
45 41 33802
36 21 84742
15 32 83610
47 29 137211
1 34 127460
23 1 90888
24 8 83147
1 3 88191
39 10 79026
34 45 140220
47 39 18204
3 40 209668
45 5 61793
44 22 92299
21 27 152493
34 13 134107
41 33 118089
13 44 78210
20 14 41670
3 4 83080
36 12 57435
38 18 36160
16 42 96132
35 9 137088
31 1 150312
15 30 77139
18 31 72911
18 21 102900
22 24 110019
12 22 100242
5 16 93838
18 40 148381
22 10 60033
7 45 29911
42 33 40371
25 20 104357
11 37 145070
47 40 183747
7 9 27801
7 41 3891
14 29 103375
28 8 76115
47 17 94267
46 40 147347
40 37 158400
14 21 104430
14 22 62495
17 3 123134
1 20 106881
33 6 110645
43 42 96978
26 46 27567
42 4 72916
19 39 81614
15 18 71724
9 8 49966
20 45 46099
23 6 32415
31 14 75847
1 9 106057
9 16 89757
43 9 38004
24 21 112985
46 8 45083
37 25 64858
18 35 118474
33 13 114441
18 22 60965
22 27 125153
23 16 69407
44 36 61080
28 42 127262
21 30 97485
5 21 110830
33 1 54903
2 43 67479
26 5 35015
7 15 59081
2 36 63070
43 37 44174
47 11 173058
16 19 66048
16 44 54122
34 36 116103
47 8 81483
11 7 128759
11 10 159561
46 32 55229
38 1 108124
2 7 57276
34 35 180796
25 31 138006
41 13 55286
36 46 36494
18 25 74893
13 1 120297
11 31 179124
26 28 64760
16 34 40169
43 41 6312
32 14 50011
36 14 19688
19 13 63269
45 11 150039
31 7 50365
25 13 122214
29 23 111091
32 18 21139
13 31 101760
26 47 62451
23 5 34163
33 11 220411
23 8 32630
3 32 94597
35 22 76225
32 39 70666
