Case #1: 38
13 20 509867
14 17 440210
14 18 226428
14 23 123990
15 24 518463
15 25 765971
16 23 182909
17 18 213782
19 21 878272
19 24 664769
21 23 328553
24 25 295116
Case #7: 133
1 2 49436
1 3 89109
1 4 20216
1 6 79112
1 8 120275
1 9 197848
1 10 126739
1 11 137804
1 12 161231
1 14 129213
1 15 50166
1 16 174700
1 17 161277
1 19 175101
2 4 39226
2 6 29676
2 7 147129
2 8 139285
2 9 216858
2 10 77303
2 11 88368
2 13 160338
2 14 79777
2 16 193710
2 17 120387
2 18 60191
2 19 134211
2 20 69034
3 4 78899
3 5 189856
3 6 69349
3 7 168451
3 10 84202
3 11 48695
3 13 154538
3 14 119450
3 15 48949
3 16 203028
3 17 142216
3 18 67090
3 19 155533
3 20 108707
4 5 125839
4 7 167803
4 8 100059
4 11 127594
4 12 141015
4 13 199564
4 14 119003
4 15 29950
4 17 141061
4 18 99417
4 19 154885
4 20 89708
5 6 179859
5 7 246048
5 8 72481
5 9 303471
5 12 251972
5 13 196421
5 14 229960
5 15 140907
5 16 280323
5 18 210374
5 19 233130
5 20 167953
6 9 246534
6 10 106979
6 11 118044
6 12 150017
6 13 190014
6 14 109453
6 15 38952
6 16 223386
6 19 163887
7 8 173567
7 9 345435
7 11 159310
7 12 248918
7 13 265153
7 14 226906
7 16 279811
7 17 26742
7 19 12918
7 20 78095
8 9 277691
8 10 216588
8 16 254543
8 20 95472
9 12 318647
9 13 215834
9 15 207582
9 16 332116
9 17 318693
9 18 277049
9 19 332517
9 20 267340
10 12 104293
10 14 157080
10 15 86579
10 16 153050
10 18 17112
10 19 148067
10 20 146337
11 12 208709
11 13 105843
11 14 168145
11 15 97644
11 16 251723
11 17 132568
11 20 157402
12 14 191085
12 15 111065
12 16 257343
12 18 121405
12 19 236000
12 20 170823
13 14 80561
13 16 354048
13 17 238411
13 18 220529
13 20 229372
14 15 89053
14 19 213988
14 20 148811
15 16 184434
15 17 111111
15 19 124935
16 17 280717
16 18 135938
16 19 266893
17 20 51353
18 20 129225
Case #8: 42
1 2 8381
1 3 140885
1 5 409974
1 6 372801
1 9 230482
2 4 200296
2 5 415748
2 6 364420
2 8 341027
2 9 222101
2 10 321229
2 12 108432
3 4 332800
3 8 441583
3 10 453733
3 11 275456
3 12 240936
4 6 341320
4 8 406997
4 10 457285
4 11 357126
4 12 91864
5 6 51328
5 7 367961
5 8 167246
5 10 327108
5 12 484512
6 7 316633
6 8 115918
6 9 272861
6 10 364634
6 11 207590
7 10 541956
7 11 109043
7 12 279793
8 9 249468
8 10 248716
9 11 65271
9 12 323565
10 11 432913
10 12 429661
11 12 265262
Case #9: 2
1 4 197108
4 9 445726
Case #10: 153
1 2 23066
1 5 111639
1 16 37549
1 18 226404
1 24 146241
1 33 154535
2 11 58912
2 13 104441
2 14 255007
2 15 145951
2 28 89124
2 33 131469
2 34 179756
2 37 172481
2 38 117215
3 19 136816
3 25 110585
3 30 187698
3 31 86837
3 38 161093
3 39 247956
4 5 102524
4 7 30136
4 26 106843
4 28 103084
4 31 56919
4 32 214069
5 11 118510
5 20 210089
5 33 165238
5 34 210701
6 11 165856
6 14 148052
6 15 186684
6 17 152568
6 23 183671
6 29 238100
6 31 149903
6 35 207505
7 9 147541
7 16 58579
7 22 135844
7 27 194853
7 34 135660
8 10 162013
8 11 187702
8 14 308429
8 27 213414
8 28 217914
8 31 114797
8 32 328899
9 10 128805
9 18 211437
9 19 196383
9 21 123789
9 29 157560
9 30 240425
9 33 49522
9 36 78466
10 12 175420
10 14 340696
10 18 207004
10 25 69137
10 28 179746
10 31 126793
10 33 79283
10 37 174911
11 14 313908
11 16 44429
11 20 184912
11 25 125619
11 29 124748
11 33 161443
11 36 102698
12 13 160273
12 20 210798
12 23 161525
12 26 148715
13 17 64147
13 18 288840
13 33 121529
14 15 296624
14 16 269479
14 22 248776
14 23 331723
14 33 347893
14 35 317445
14 36 306085
14 37 380408
15 17 105657
15 18 130909
15 19 227258
15 25 201027
15 30 140390
15 32 317094
15 39 184346
16 18 217821
16 19 107421
16 20 140483
16 22 194423
16 26 78415
17 20 167149
17 23 110233
17 26 52589
17 35 91850
17 37 205987
18 19 143972
18 26 183977
18 31 233901
18 35 230511
19 24 127921
19 28 182062
20 21 158678
20 24 244253
20 30 117265
20 31 164484
20 33 218897
21 22 212600
21 28 92818
21 29 98496
21 31 46653
21 39 236738
22 26 133471
22 32 380049
22 35 223866
22 36 164474
22 37 264229
23 27 226318
23 29 181827
23 35 95836
24 25 101690
24 26 129693
24 27 272766
25 31 98035
25 33 120630
25 37 105774
26 30 135986
26 34 212861
26 36 79717
27 32 334018
27 33 160930
28 33 148506
28 35 118058
29 31 145149
29 38 219405
31 33 119633
31 38 74256
32 33 276035
33 34 168417
33 36 89840
34 36 245720
35 36 59392
36 37 233602
Case #11: 285
1 2 127456
1 3 97228
1 4 119506
1 5 199698
1 7 164999
1 8 128506
1 9 301137
1 10 99104
1 11 226883
1 12 79000
1 13 142020
1 14 239460
1 15 124729
1 16 87392
1 17 132837
1 18 156214
1 19 345204
1 20 91223
1 21 167786
1 22 168030
1 24 89338
1 25 277028
2 3 30228
2 4 117531
2 5 149530
2 6 34580
2 7 37543
2 8 126531
2 9 234137
2 10 32104
2 11 154610
2 12 48456
2 13 73668
2 14 167187
2 15 57729
2 16 214848
2 17 65837
2 18 125670
2 19 278204
2 20 36233
2 21 94921
2 22 109093
2 23 100016
2 24 58794
2 25 180239
3 4 87303
3 5 119302
3 6 21172
3 7 67771
3 8 96303
3 9 203909
3 10 1876
3 11 130247
3 12 18228
3 13 44792
3 14 142824
3 15 27501
3 16 184620
3 17 35609
3 18 95442
3 19 247976
3 20 6005
3 21 70558
3 22 82812
3 23 69788
3 24 28566
3 25 191810
4 5 206605
4 6 96465
4 7 155074
4 8 9000
4 9 291212
4 10 89179
4 11 216958
4 12 93521
4 13 132095
4 14 229535
4 15 114804
4 16 206898
4 17 122912
4 18 166058
4 19 335279
4 20 81298
4 21 157861
4 22 158105
4 23 145081
4 24 103859
4 25 267103
5 6 140474
5 7 187073
5 8 215605
5 9 323211
5 10 121178
5 11 249549
5 12 137530
5 13 164094
5 14 262126
5 15 146803
5 16 287090
5 17 154911
5 18 126835
5 19 367278
5 21 189860
5 22 202114
5 23 189090
5 24 147868
5 25 300040
6 7 72123
6 8 105465
6 9 225081
6 10 23048
6 11 120493
6 12 27390
6 14 133070
6 15 48673
6 16 193782
6 17 56781
6 18 104604
6 19 269148
6 20 15167
6 21 91730
6 22 91974
6 23 78950
6 24 37728
6 25 170638
7 8 164074
7 9 236482
7 10 69647
7 11 117067
7 12 85999
7 13 36125
7 14 129644
7 15 95272
7 16 252391
7 17 96977
7 18 163213
7 19 315747
7 21 57378
7 22 71550
7 23 84574
7 24 96337
7 25 142696
8 9 300212
8 10 98179
8 11 225958
8 12 102521
8 14 238535
8 15 123804
8 16 215898
8 17 131912
8 18 175058
8 19 344279
8 21 166861
8 22 167105
8 23 154081
8 24 112859
8 25 276103
9 10 202033
9 11 119415
9 12 222137
9 14 110933
9 15 222161
9 16 357690
9 18 294188
9 19 335905
9 20 209914
9 21 179104
9 22 193276
9 23 206300
9 24 232422
10 11 132123
10 12 20104
10 13 46668
10 14 144700
10 16 186496
10 17 33733
10 18 97265
10 19 249852
10 20 7881
10 21 72434
10 22 84688
10 23 71664
10 24 30389
10 25 193686
11 12 147883
11 13 119998
11 14 12577
11 15 102746
11 16 314275
11 17 165856
11 18 225097
11 19 333038
11 21 59689
11 22 73861
11 23 86885
11 24 158221
11 25 234010
12 13 63020
12 14 160460
12 15 45729
12 16 166392
12 17 53837
12 18 77214
12 19 266204
12 20 12223
12 21 88786
12 22 89030
12 23 76006
12 24 10338
12 25 198028
13 14 132575
13 15 72293
13 16 229412
13 17 60852
13 18 140234
13 19 292768
13 20 50797
13 21 60309
13 22 74481
13 23 87505
13 24 73358
13 25 178821
14 15 115323
14 16 326852
14 17 178433
14 18 227744
14 19 345615
14 20 148237
14 21 72266
14 23 99462
14 24 160868
14 25 246587
15 16 212121
15 17 63110
15 18 122943
15 19 275477
15 21 43057
15 22 57229
15 23 70253
15 24 56067
15 25 217378
16 17 220229
16 18 243606
16 19 370798
16 20 178615
16 21 255178
16 22 255422
16 23 242398
16 24 176730
16 25 364420
17 18 130998
17 19 283585
17 21 106167
17 22 118421
17 23 105397
17 24 64122
17 25 227419
18 19 343418
18 20 89437
18 21 166000
18 22 166244
18 23 153220
18 24 66876
18 25 173205
19 20 253981
19 21 273349
19 22 287521
19 23 300545
19 24 276542
19 25 344499
20 21 76563
20 22 76807
20 23 63783
20 24 22561
20 25 185805
21 22 14172
21 23 27196
21 24 99124
21 25 174321
22 23 13024
22 24 99368
22 25 160149
23 24 86344
23 25 147125
24 25 208366
Case #12: 119
1 8 268447
1 10 238509
1 11 197014
1 13 227080
1 16 264309
1 18 306565
1 24 352080
1 25 283974
1 27 180083
1 29 165372
2 4 246096
2 11 340177
2 14 315116
2 17 453006
2 20 156955
3 6 533145
3 13 396395
3 16 299034
3 18 454690
3 20 368132
3 21 468101
3 24 329536
3 26 254838
3 29 527868
4 6 260897
4 7 351707
4 8 223133
4 9 190987
4 11 94081
4 16 161376
4 19 331204
4 20 310462
4 21 195853
4 22 542593
4 23 208412
5 6 151041
5 9 273384
5 10 197327
5 14 180973
5 19 265082
5 25 258331
5 26 387559
6 9 234487
6 15 231162
6 24 389623
6 26 348662
6 27 242744
7 20 154918
7 22 608370
7 25 284454
7 27 199132
7 28 434289
7 29 249729
8 9 225958
8 13 159118
8 15 314907
8 16 196347
8 20 290116
8 22 609538
8 25 216012
8 27 197130
9 12 120316
9 15 350743
9 17 237508
9 18 264076
9 19 334029
10 13 164420
10 14 143956
10 22 641894
10 25 221314
11 19 237123
11 21 101772
11 23 114331
11 24 282939
11 25 86960
11 26 211081
11 27 136060
11 28 242248
12 13 6656
12 15 230427
12 22 587140
12 25 63550
13 14 122948
13 17 260838
13 21 71706
13 25 56894
14 17 240374
14 20 178516
14 23 63801
15 16 321132
15 17 321887
15 18 353025
15 20 254221
15 21 152065
15 22 701245
15 25 280665
15 26 344838
16 17 207897
16 23 181626
16 26 143786
16 28 309543
17 18 390092
17 20 297096
17 21 189132
17 26 351683
18 19 336311
18 20 328234
18 21 200960
18 26 199852
18 27 235248
19 24 45816
20 24 239662
20 26 292872
20 27 92986
21 24 181167
24 25 309767
24 26 494020
25 28 155288
28 29 329212
Case #13: 50
1 24 317074
3 45 446257
4 19 770843
4 20 919950
4 25 552032
4 31 769455
4 47 537716
5 32 311929
5 39 512655
5 41 693346
5 42 687310
5 45 658735
6 37 881589
7 47 528578
8 10 374907
8 30 468691
8 32 324609
9 18 795286
9 45 324238
10 30 244172
11 39 502532
12 32 624987
13 18 766330
13 34 612412
13 47 457442
14 29 401463
15 17 619615
16 21 511245
17 45 369579
19 43 366674
20 21 447827
24 29 2894
26 49 890831
27 33 321461
28 29 385813
29 34 368251
29 36 468511
31 32 630002
31 37 542691
32 43 615565
32 45 424346
35 43 390477
37 43 646326
38 47 612271
39 40 443441
39 43 717953
39 45 539362
41 44 451636
42 47 280741
43 47 710205
Case #14: Impossible
Case #15: 40
1 10 483827
1 11 574262
1 12 450434
1 14 502041
2 4 350972
2 5 421491
2 6 217473
2 10 269167
2 11 481271
2 12 519114
2 14 539940
3 6 556214
3 9 127323
3 11 267591
3 12 459751
3 15 128506
4 14 272452
4 16 413509
5 11 539481
5 13 280851
5 14 136730
5 15 451813
6 7 633112
6 9 428891
6 15 510315
7 8 300788
7 9 440985
7 12 510672
7 13 399860
7 14 531498
8 10 40063
8 12 209884
8 13 328563
8 15 177991
9 15 255829
10 14 270773
10 16 411830
11 12 381925
12 13 118679
15 16 447486
Case #16: Impossible
Case #17: 59
1 3 383094
1 6 529311
1 7 480374
1 8 589300
1 9 418988
1 11 345392
1 13 529808
2 3 364926
2 6 511143
2 9 400820
2 10 425535
2 11 132059
2 13 456529
2 14 187693
3 4 127347
3 5 283027
3 6 146217
3 7 97280
3 8 292303
3 10 236718
3 12 109639
3 13 146714
4 7 192766
4 9 163241
4 11 360214
4 13 143332
4 14 339239
5 6 166212
5 8 20126
5 9 318921
5 10 299663
5 11 347827
5 13 315182
6 7 198404
6 8 146086
6 9 182111
6 10 255016
6 11 379084
6 12 255856
6 14 358109
7 8 344490
7 9 61386
7 10 155480
7 11 330147
7 13 49434
7 14 309172
8 9 328197
8 10 279537
8 12 193514
8 13 295056
9 10 216866
9 11 268761
10 11 469585
10 13 106046
10 14 266293
11 12 342506
11 13 379581
11 14 319752
12 13 233125
Case #18: Impossible
Case #19: 47
1 2 318234
1 3 193653
1 4 238090
1 5 460594
1 7 133731
1 8 470988
1 10 35395
1 11 161031
2 3 453883
2 6 378485
2 7 393961
2 8 657323
2 9 232737
2 10 353629
2 11 157203
3 4 106078
3 5 328582
3 6 133402
3 7 59922
3 8 338976
3 10 229048
3 11 296680
4 5 222504
4 6 239480
4 7 166000
4 8 232898
4 9 323587
4 10 235333
4 11 399121
5 6 461984
5 7 388504
5 8 140402
5 9 546091
5 10 457837
5 11 621625
6 8 463254
6 9 145748
6 10 95646
7 8 398898
7 9 219228
7 10 169126
7 11 236758
8 9 440419
8 10 468231
9 10 120892
9 11 75534
10 11 196426
Case #20: 66
1 2 181672
1 6 412559
1 7 322827
1 10 273979
1 13 504775
1 14 704940
2 6 314375
2 9 89972
2 11 308917
2 12 112725
2 13 453804
2 15 374097
2 16 111225
2 17 418664
3 5 166569
3 6 365329
3 11 426569
3 12 239783
3 13 326746
3 17 421257
4 5 107335
4 9 157796
4 10 24483
4 11 367335
4 12 180549
4 16 179049
5 8 335491
5 11 269406
5 12 152236
5 15 413608
5 16 150736
5 17 379153
6 8 490010
6 10 281612
6 12 343612
6 13 692075
6 15 74009
6 16 203150
6 17 619152
7 8 329173
7 9 231127
7 13 459311
7 14 584528
7 16 252380
7 17 435354
8 12 384816
8 14 767039
9 15 298412
9 16 21253
9 17 508636
10 12 205032
10 14 535680
10 17 337540
11 12 421642
11 13 204969
11 14 593172
11 15 624642
11 16 420142
11 17 109747
12 13 566529
12 14 635993
12 16 140462
13 17 95222
14 16 634493
14 17 483425
15 17 619330
Case #21: Impossible
Case #22: 125
1 2 74749
1 4 115807
1 7 149135
1 8 83695
1 9 125547
1 10 150759
1 11 250586
1 13 72331
1 15 259808
1 16 157221
1 19 48669
1 20 71650
1 21 133580
2 4 41058
2 5 211121
2 6 90370
2 7 77360
2 9 50798
2 11 250776
2 12 270470
2 13 3780
2 14 72381
2 16 157411
2 17 129059
2 18 29929
2 21 58831
3 6 80645
3 10 175626
3 13 47715
3 14 122514
3 16 182088
3 17 153736
3 18 20204
3 19 24053
3 20 47034
4 5 170063
4 6 131428
4 7 118418
4 8 130423
4 9 9740
4 13 44838
4 15 181068
4 16 198469
4 17 170117
4 20 44157
4 21 17773
5 12 59349
5 15 153128
5 16 368532
5 18 241050
5 19 244899
5 20 214220
5 21 152290
6 7 164756
6 8 136799
6 9 141168
6 10 94981
6 12 271615
6 13 87952
6 16 101443
6 17 73091
6 19 64290
6 20 87271
6 21 149201
7 8 132229
7 10 259737
7 11 325162
7 14 149741
7 19 108164
7 20 77485
7 21 136191
8 9 140163
8 10 231780
8 12 269892
8 13 93145
8 15 176113
8 16 238242
8 18 76358
8 19 80207
8 21 148196
9 12 239152
9 14 123179
9 15 171328
9 21 27513
10 11 289789
10 13 182933
10 18 155422
10 19 159271
10 21 244182
11 13 248358
11 14 316799
11 15 438582
11 16 150069
11 18 255249
11 19 259098
12 16 373058
12 17 344706
12 18 259139
12 20 273569
12 21 211639
13 15 225906
13 16 154993
13 17 126641
13 18 27511
13 19 31360
13 21 62611
14 15 294507
14 16 210075
14 17 195082
14 19 106159
14 20 75480
15 16 345217
15 17 316865
15 18 252055
15 19 255904
16 20 154312
16 21 216242
17 18 133532
17 19 137381
17 20 125960
17 21 187890
18 20 26830
18 21 88760
19 20 30679
20 21 61930
Case #23: 50
2 37 981915
3 27 281689
3 31 621343
3 41 276610
3 46 354847
4 6 822750
5 18 271298
5 21 497645
6 42 795350
7 14 369455
8 40 527802
9 32 538811
9 40 407047
11 35 428929
11 38 602679
12 31 660607
12 39 535690
12 44 240675
12 45 177533
13 14 699430
13 18 706873
13 43 336160
14 22 683274
14 23 808180
14 38 668874
15 19 708528
15 23 378537
15 38 984932
15 39 804099
16 43 762085
18 21 768943
18 45 356440
20 31 717379
20 45 540706
22 28 720097
23 28 845003
23 31 550479
23 33 382386
23 45 710656
24 27 834082
25 39 250048
26 32 482175
31 34 692806
31 42 851653
32 46 322873
33 40 471698
33 46 403359
34 45 380363
37 45 493809
38 45 546981
Case #24: 8
1 2 300575
1 7 27309
2 4 36438
2 5 99534
2 6 125000
2 7 273266
3 4 464456
5 7 372800
Case #25: 117
1 5 231326
1 6 256816
1 8 109097
1 12 143492
1 14 110089
1 15 205048
1 17 202954
1 19 246164
2 3 524183
2 6 187893
2 7 347155
2 9 127579
2 10 214141
2 11 316214
2 12 158580
2 13 214453
2 16 81280
2 18 221797
2 19 117896
2 22 182775
2 23 307027
3 7 459907
3 10 323048
3 11 437886
3 12 365603
3 13 523392
3 14 390318
3 17 323567
3 18 467864
3 19 426835
4 5 292742
4 6 162382
4 7 344130
4 8 301647
4 10 6503
4 11 308608
4 13 206847
4 14 246365
4 15 397598
4 19 110290
4 20 229194
4 22 175169
5 6 237483
5 8 122229
5 12 341800
5 14 263810
5 16 179871
5 17 104943
5 18 39354
5 20 267970
6 7 341404
6 9 60314
6 11 171078
6 12 113324
6 16 106613
6 20 266069
7 8 42483
7 10 350633
7 11 283215
7 14 261669
7 19 271407
7 21 274513
7 23 167779
8 10 308150
8 11 240732
8 12 252589
8 15 95951
8 22 164045
9 12 169031
9 15 334558
9 17 300029
9 19 9683
9 21 265048
9 22 74562
10 12 55561
10 15 404101
10 19 116793
10 20 235697
10 21 373619
11 12 275127
11 14 168436
11 16 234934
11 17 299789
11 18 214609
11 19 198318
11 21 363764
11 23 147834
12 13 193519
12 15 348540
12 19 159348
12 21 318058
12 22 224227
12 23 159691
13 15 421432
13 16 133173
13 17 386903
13 23 326651
14 15 315137
14 18 239976
14 20 73445
14 21 389131
14 23 126288
15 16 319343
15 17 189808
15 19 324875
15 21 327981
15 22 259996
16 20 172904
16 21 289672
16 23 225747
17 19 290346
17 20 239598
17 21 260595
18 19 146049
18 22 81170
19 23 262363
22 23 281273
Case #26: 275
1 2 125228
1 3 50161
1 4 192901
1 6 74616
1 9 132567
1 10 117091
1 12 150803
1 14 50256
1 15 77784
1 16 146310
1 18 112101
1 22 2320
1 23 258559
1 24 79762
1 26 111923
1 28 76142
1 29 51703
1 30 90147
1 31 82538
1 32 191787
2 3 147564
2 5 57584
2 6 123271
2 12 244348
2 13 180864
2 14 82308
2 16 184877
2 17 184176
2 18 49182
2 19 186153
2 21 215429
2 22 122908
2 26 102674
2 28 108900
2 31 136920
2 32 66559
3 4 150593
3 5 172013
3 6 24455
3 9 128073
3 13 163812
3 14 65256
3 15 92784
3 17 167124
3 21 198377
3 22 47841
3 26 126923
3 29 66703
3 30 39986
4 6 126138
4 7 107716
4 8 196612
4 9 155269
4 15 115117
4 17 189457
4 18 159998
4 20 129006
4 22 190581
4 23 155272
4 24 117095
4 25 222345
4 26 94302
4 27 123748
4 28 140509
4 29 144092
4 31 182970
4 32 203239
5 6 180855
5 7 171885
5 13 205313
5 14 106757
5 15 134285
5 16 209326
5 17 208625
5 24 136263
5 25 148728
5 31 160780
5 32 124143
6 7 151171
6 8 113290
6 13 158898
6 14 89711
6 15 76613
6 16 154885
6 18 74089
6 20 62724
6 22 72296
6 23 200329
6 24 74635
6 25 104060
6 27 110339
6 28 14371
6 29 91158
6 30 64441
6 31 56832
6 32 167132
7 10 131963
7 11 71045
7 12 170238
7 15 92656
7 16 37441
7 18 126973
7 19 169134
7 22 113064
7 24 94634
7 26 126795
7 27 160368
7 31 162761
7 32 207488
8 10 155765
8 11 94847
8 14 88930
8 16 181306
8 18 150775
8 19 185663
8 20 91428
8 21 222051
8 22 40994
8 23 263396
8 24 79517
8 25 72758
8 26 128006
8 27 176834
8 28 114816
8 29 90377
8 30 128821
8 32 196327
9 10 143975
9 12 217791
9 16 84994
9 18 144156
9 26 143978
9 28 89247
9 29 83758
10 13 165391
10 15 94363
10 16 169404
10 17 153581
10 18 4990
10 19 141961
10 23 164900
10 25 145316
10 26 128502
10 29 68282
10 31 92728
10 32 98033
11 12 206976
11 14 5917
11 17 107785
11 21 139038
11 22 53853
11 23 215838
11 25 85617
11 26 67584
11 27 92178
11 29 7364
11 30 99325
11 31 91716
12 13 136810
12 14 201059
12 15 228587
12 16 132797
12 18 262904
12 20 242476
12 22 153123
12 23 107756
12 26 262726
12 31 233341
13 14 98556
13 19 202562
13 20 121875
13 21 101421
13 24 128062
13 25 176381
13 28 144527
13 30 188895
13 31 196189
14 16 102569
14 17 101868
14 19 104006
14 23 213385
14 24 29506
14 27 95240
14 28 89770
14 29 1447
14 30 105242
14 31 97633
15 16 130097
15 17 74340
15 18 89373
15 19 131534
15 25 107228
15 27 122768
15 29 28975
15 30 132770
15 31 125161
16 17 204437
16 18 164414
16 19 206575
16 20 125888
16 22 148630
16 25 180394
16 26 164236
16 29 101122
16 30 192908
16 32 244929
17 18 158571
17 19 205874
17 23 260197
17 25 153741
17 26 163535
17 28 136582
17 29 103315
17 30 207110
17 31 199501
18 20 103262
18 22 109781
18 24 91351
18 25 140326
18 26 123512
18 29 63292
18 31 87738
19 20 145423
19 21 163176
19 22 144669
19 24 133512
19 25 176433
19 26 165673
19 27 173221
19 28 135654
19 29 105453
19 30 56842
20 21 156440
20 25 121117
20 28 48353
20 29 42864
20 31 119556
21 22 181057
21 23 246620
21 24 162627
21 25 212821
21 27 228361
21 30 220018
21 31 227627
22 26 109603
22 27 135840
22 28 73822
22 30 87827
22 32 189467
23 24 183879
23 25 227736
23 26 172016
23 27 123660
23 29 214832
23 31 247648
23 32 203151
24 25 109206
24 26 91173
24 32 116810
25 26 141367
25 28 105586
25 29 81147
25 30 119591
25 31 111982
25 32 157703
26 27 115606
26 31 159300
26 32 169233
27 30 116379
27 31 123988
27 32 79491
28 30 78812
29 30 106689
29 31 99080
30 31 7609
Case #27: 311
1 3 230484
1 4 156187
1 10 246919
1 36 114716
1 41 160985
1 42 239154
1 44 80104
1 47 156229
1 49 210301
2 6 206006
2 7 146012
2 8 208206
2 14 281511
2 19 24885
2 25 253154
2 27 208807
2 40 178358
2 47 141735
2 48 49410
3 4 213577
3 6 350337
3 15 148383
3 16 256387
3 25 382898
3 29 176046
3 31 310689
3 32 279187
3 33 324044
3 34 327964
4 5 222426
4 9 89989
4 10 173649
4 14 197977
4 15 108140
4 16 158655
4 26 94544
4 27 131510
4 29 135803
4 33 215473
4 35 111169
4 38 119693
4 39 238486
4 40 217947
4 45 160720
4 49 194792
5 20 295935
5 25 245042
5 38 205535
5 41 227224
5 46 162909
5 48 213194
5 50 220101
6 11 196767
6 12 276638
6 13 191765
6 18 167074
6 22 154304
6 26 211412
6 28 293463
6 29 229733
6 30 155593
6 33 208951
6 35 173359
6 38 222932
